experiment,window,grid_limit_kw,seed,scenario_mode,execution_rule,forecast_lead_hours,population,sample_count,mae_kw,bias_forecast_minus_actual_kw,rmse_kw,p10_p90_coverage,ensemble_range_coverage,below_ensemble_min_fraction,mean_p10_p90_width_kw,p10_p90_strict_coverage,ensemble_range_strict_coverage,above_ensemble_max_fraction,below_p10_fraction,above_p90_fraction,equal_ensemble_min_fraction,equal_ensemble_max_fraction,equal_p10_fraction,equal_p90_fraction,mean_scenario_member_count,mean_scenario_unique_member_count,mean_observation_tied_member_count,mean_observation_rank_lower,mean_observation_rank_upper,mean_observation_rank_midpoint,mean_observation_pit_lower,mean_observation_pit_upper,mean_observation_pit_midpoint,ideal_below_ensemble_min_fraction,ideal_p10_p90_coverage,ideal_ensemble_range_coverage,tie_tolerance_kw,observation_tie_fraction,any_member_ties_fraction,mean_rank_interval_width,mean_pit_interval_width
sampled_28d,winter,2.5,42,sampled,planned,12,all_hours,168,0.1609298394650829,0.14791672894743832,0.33108180362725537,0.9047619047619048,0.9523809523809523,0.041666666666666664,0.35608989689625853,0.20833333333333334,0.24404761904761904,0.005952380952380952,0.07142857142857142,0.023809523809523808,0.7083333333333334,0.625,0.6964285714285714,0.625,12.0,3.6904761904761907,7.875,2.3333333333333335,10.208333333333334,6.270833333333333,0.10256410256410256,0.7852564102564101,0.44391025641025644,0.07692307692307689,0.6923076923076924,0.846153846153846,1e-09,0.7083333333333334,1.0,7.875,0.6826923076923076
sampled_28d,winter,2.5,42,sampled,planned,12,daylight_proxy,84,0.3218596789301658,0.2958334578948767,0.46822037694461033,0.8095238095238095,0.9047619047619048,0.08333333333333333,0.712179793792517,0.4166666666666667,0.4880952380952381,0.011904761904761904,0.14285714285714285,0.047619047619047616,0.4166666666666667,0.25,0.39285714285714285,0.25,12.0,6.380952380952381,3.75,3.6666666666666665,7.416666666666667,5.541666666666667,0.20512820512820507,0.5705128205128205,0.38782051282051266,0.07692307692307687,0.6923076923076925,0.8461538461538457,1e-09,0.4166666666666667,1.0,3.75,0.36538461538461536
sampled_28d,winter,2.5,42,sampled,planned,13,all_hours,168,0.16459236404522745,0.1515792535275829,0.33822235309293885,0.9047619047619048,0.9523809523809523,0.041666666666666664,0.36093077367665816,0.20833333333333334,0.24404761904761904,0.005952380952380952,0.07738095238095238,0.017857142857142856,0.7083333333333334,0.625,0.6964285714285714,0.625,12.0,3.6666666666666665,7.892857142857143,2.363095238095238,10.255952380952381,6.309523809523809,0.10485347985347984,0.788919413919414,0.4468864468864468,0.07692307692307689,0.6923076923076924,0.846153846153846,1e-09,0.7083333333333334,1.0,7.892857142857143,0.684065934065934
sampled_28d,winter,2.5,42,sampled,planned,13,daylight_proxy,84,0.3291847280904549,0.30315850705516584,0.4783186388417758,0.8095238095238095,0.9047619047619048,0.08333333333333333,0.7218615473533163,0.4166666666666667,0.4880952380952381,0.011904761904761904,0.15476190476190477,0.03571428571428571,0.4166666666666667,0.25,0.39285714285714285,0.25,12.0,6.333333333333333,3.7857142857142856,3.7261904761904763,7.511904761904762,5.619047619047619,0.2097069597069596,0.5778388278388279,0.3937728937728937,0.07692307692307687,0.6923076923076925,0.8461538461538457,1e-09,0.4166666666666667,1.0,3.7857142857142856,0.3681318681318681
sampled_28d,winter,2.5,42,sampled,planned,14,all_hours,168,0.1667211346615469,0.1582578282777955,0.3417350464192472,0.9107142857142857,0.9464285714285714,0.041666666666666664,0.34218550701530615,0.21428571428571427,0.23214285714285715,0.011904761904761904,0.07142857142857142,0.017857142857142856,0.7142857142857143,0.625,0.6964285714285714,0.625,12.0,3.6666666666666665,7.851190476190476,2.488095238095238,10.339285714285714,6.413690476190476,0.11446886446886448,0.7953296703296703,0.4548992673992674,0.07692307692307689,0.6923076923076924,0.846153846153846,1e-09,0.7142857142857143,1.0,7.851190476190476,0.6808608058608058
sampled_28d,winter,2.5,42,sampled,planned,14,daylight_proxy,84,0.33344226932309384,0.316515656555591,0.48328633738429855,0.8214285714285714,0.8928571428571429,0.08333333333333333,0.6843710140306122,0.42857142857142855,0.4642857142857143,0.023809523809523808,0.14285714285714285,0.03571428571428571,0.42857142857142855,0.25,0.39285714285714285,0.25,12.0,6.333333333333333,3.7023809523809526,3.9761904761904763,7.678571428571429,5.8273809523809526,0.22893772893772893,0.5906593406593407,0.4097985347985348,0.07692307692307687,0.6923076923076925,0.8461538461538457,1e-09,0.42857142857142855,1.0,3.7023809523809526,0.3617216117216117
sampled_28d,winter,2.5,42,sampled,planned,15,all_hours,168,0.1691064882170316,0.16064318183328016,0.3436439665760083,0.9226190476190477,0.9583333333333334,0.02976190476190476,0.32394969706632654,0.21428571428571427,0.24404761904761904,0.011904761904761904,0.05357142857142857,0.023809523809523808,0.7142857142857143,0.625,0.7083333333333334,0.625,12.0,3.5535714285714284,7.851190476190476,2.5952380952380953,10.446428571428571,6.520833333333333,0.12271062271062269,0.8035714285714286,0.46314102564102566,0.07692307692307689,0.6923076923076924,0.846153846153846,1e-09,0.7142857142857143,1.0,7.851190476190476,0.6808608058608058
sampled_28d,winter,2.5,42,sampled,planned,15,daylight_proxy,84,0.3382129764340632,0.3212863636665604,0.4859859581594776,0.8452380952380952,0.9166666666666666,0.05952380952380952,0.6478993941326531,0.42857142857142855,0.4880952380952381,0.023809523809523808,0.10714285714285714,0.047619047619047616,0.42857142857142855,0.25,0.4166666666666667,0.25,12.0,6.107142857142857,3.7023809523809526,4.190476190476191,7.892857142857143,6.041666666666667,0.24542124542124535,0.6071428571428573,0.42628205128205127,0.07692307692307687,0.6923076923076925,0.8461538461538457,1e-09,0.42857142857142855,1.0,3.7023809523809526,0.36172161172161177
sampled_28d,winter,2.5,42,sampled,planned,16,all_hours,168,0.1691646169372697,0.16070131055351827,0.3436618789291798,0.9107142857142857,0.9523809523809523,0.03571428571428571,0.3001659159757653,0.21428571428571427,0.23214285714285715,0.011904761904761904,0.06547619047619048,0.023809523809523808,0.7202380952380952,0.625,0.6964285714285714,0.625,12.0,3.5833333333333335,7.839285714285714,2.607142857142857,10.446428571428571,6.526785714285714,0.1236263736263736,0.8035714285714286,0.4635989010989011,0.07692307692307689,0.6923076923076924,0.846153846153846,1e-09,0.7202380952380952,1.0,7.839285714285714,0.6799450549450549
sampled_28d,winter,2.5,42,sampled,planned,16,daylight_proxy,84,0.33832923387453945,0.3214026211070366,0.4860112900522666,0.8214285714285714,0.9047619047619048,0.07142857142857142,0.6003318319515307,0.42857142857142855,0.4642857142857143,0.023809523809523808,0.13095238095238096,0.047619047619047616,0.44047619047619047,0.25,0.39285714285714285,0.25,12.0,6.166666666666667,3.6785714285714284,4.214285714285714,7.892857142857143,6.053571428571429,0.24725274725274732,0.6071428571428571,0.4271978021978021,0.07692307692307687,0.6923076923076925,0.8461538461538457,1e-09,0.44047619047619047,1.0,3.6785714285714284,0.3598901098901099
