date_utc,total_loss_eur,total_operating_cost_eur,total_grid_cost_eur,total_battery_cost_eur,total_shortage_cost_eur,total_inventory_adjustment_eur,total_ens_kwh,total_grid_import_kwh,total_curtailment_kwh,total_throughput_kwh,total_solve_seconds,total_actual_expense_eur,hours,expected_hours,complete_block,partial_block,peak_grid_import_kw,hours_with_ens,grid_limit_kw,seed,experiment,window,scenario_mode,execution_rule,policy,risk_weight,tail_tiebreak
2017-10-03 00:00:00+00:00,8.073828335273,8.073828335273,7.490753849345043,0.1319026109279535,0.4511718750000026,4.440892098500626e-16,0.0451171875000002,43.641436804291004,0.2152622767857139,13.190261092795465,6.1308487000642335,7.622656460272996,24,24,True,False,2.5,1,2.5,42,sampled_28d,autumn,sampled,planned,stochastic,0.0,True
2017-10-04 00:00:00+00:00,7.989395495954241,7.989395495954241,7.857025767299108,0.1323697286551326,0.0,4.996003610813204e-16,0.0,45.68852936662947,0.0,13.23697286551339,5.753590299980714,7.9893954959542395,24,24,True,False,2.5,0,2.5,42,sampled_28d,autumn,sampled,planned,stochastic,0.0,True
2017-10-05 00:00:00+00:00,6.5864640352957595,6.586464035295759,6.454392633928572,0.13207140136718631,0.0,4.996003610813204e-16,0.0,37.69195305524554,1.9248744419642851,13.207140136718747,6.291350999847054,6.586464035295758,24,24,True,False,2.5,0,2.5,42,sampled_28d,autumn,sampled,planned,stochastic,0.0,True
2017-10-06 00:00:00+00:00,9.0607858838992,9.122722446986607,9.004495675223215,0.1182267717633915,0.0,-0.061936563087405944,0.0,52.11886858258929,0.0,11.822677176339282,6.196786600048653,9.122722446986606,24,24,True,False,2.5,0,2.5,42,sampled_28d,autumn,sampled,planned,stochastic,0.0,True
2017-10-07 00:00:00+00:00,9.113409286367391,9.008722723279986,8.357170187946737,0.0950444438153861,0.55650809151786,0.10468656308740701,0.0556508091517859,48.065842958547684,0.0,9.504444381538757,7.341492099571041,8.452214631762123,24,24,True,False,2.5,2,2.5,42,sampled_28d,autumn,sampled,planned,stochastic,0.0,True
2017-10-01 00:00:00+00:00,9.17316454101563,8.47881454101563,8.368774469866072,0.1100400711495524,4.440892098500626e-15,0.69435,4.440892098500626e-16,48.43162346540179,0.0,11.004007114955355,6.513422000105492,8.478814541015623,24,24,True,False,2.5,0,2.5,42,sampled_28d,autumn,sampled,planned,cvar_0.5,0.5,True
2017-10-02 00:00:00+00:00,9.192192510463169,9.23494251046317,9.106336593191966,0.1286059172712042,0.0,-0.042749999999999566,0.0,52.78533461216518,0.0,12.860591727120532,6.679473700001835,9.234942510463169,24,24,True,False,2.5,0,2.5,42,sampled_28d,autumn,sampled,planned,cvar_0.5,0.5,True
2017-10-03 00:00:00+00:00,8.171118298688619,8.171118298688619,7.6038148297991075,0.1161315938895078,0.4511718750000026,5.273559366969494e-16,0.0451171875000002,44.200819405691966,0.85546875,11.61315938895089,6.518537700292654,7.719946423688615,24,24,True,False,2.5,1,2.5,42,sampled_28d,autumn,sampled,planned,cvar_0.5,0.5,True
2017-10-04 00:00:00+00:00,7.985644421735491,7.985644421735492,7.858551157924108,0.1270932638113827,0.0,4.996003610813204e-16,0.0,45.66148835100447,0.0,12.70932638113839,6.4278440000489345,7.98564442173549,24,24,True,False,2.5,0,2.5,42,sampled_28d,autumn,sampled,planned,cvar_0.5,0.5,True
2017-10-05 00:00:00+00:00,6.648674782714845,6.648674782714844,6.525904875837054,0.122769906877789,0.0,4.996003610813204e-16,0.0,38.03756009347099,2.3181501116071423,12.276990687779016,6.578444400220177,6.648674782714843,24,24,True,False,2.5,0,2.5,42,sampled_28d,autumn,sampled,planned,cvar_0.5,0.5,True
2017-10-06 00:00:00+00:00,9.060742486159246,9.122679049246653,9.00451332310268,0.1181657261439719,0.0,-0.061936563087406055,0.0,52.11855573381697,0.0,11.816572614397316,6.468076599529012,9.122679049246651,24,24,True,False,2.5,0,2.5,42,sampled_28d,autumn,sampled,planned,cvar_0.5,0.5,True
2017-10-07 00:00:00+00:00,9.840905203987369,9.736218640899962,8.342753684040488,0.0934771638907209,1.2999877929687509,0.10468656308740704,0.129998779296875,47.98346293622626,0.0,9.34771638907224,7.683304199250414,8.436230847931208,24,24,True,False,2.5,2,2.5,42,sampled_28d,autumn,sampled,planned,cvar_0.5,0.5,True
2017-01-01 00:00:00+00:00,10.387722549125693,9.693372549125693,9.62784739655471,0.0655251525709826,0.0,0.6943499999999998,0.0,55.37341369459834,0.0,6.5525152570983405,0.0,9.693372549125693,24,24,True,False,2.5,0,2.5,42,all_matching_28d,winter,all_matching,planned,perfect_foresight,0.0,True
2017-01-02 00:00:00+00:00,9.461850864568905,9.504600864568907,9.44307181656856,0.061529048000345504,0.0,-0.04275000000000012,0.0,54.31755323753463,0.0,6.152904800034631,0.0,9.504600864568905,24,24,True,False,2.5,0,2.5,42,all_matching_28d,winter,all_matching,planned,perfect_foresight,0.0,True
2017-01-03 00:00:00+00:00,9.92501521381579,9.92501521381579,9.86493626644737,0.0600789473684203,0.0,-1.3877787807814457e-17,0.0,56.72820723684211,0.0,6.0078947368421085,0.0,9.925015213815788,24,24,True,False,2.5,0,2.5,42,all_matching_28d,winter,all_matching,planned,perfect_foresight,0.0,True
2017-01-04 00:00:00+00:00,9.993203690378289,9.993203690378289,9.933124743009868,0.0600789473684203,0.0,-1.3877787807814457e-17,0.0,57.11785567434211,0.0,6.0078947368421085,0.0,9.993203690378289,24,24,True,False,2.5,0,2.5,42,all_matching_28d,winter,all_matching,planned,perfect_foresight,0.0,True
2017-01-05 00:00:00+00:00,9.82521052631579,9.82521052631579,9.765131578947368,0.0600789473684203,0.0,-1.3877787807814457e-17,0.0,56.15789473684211,0.0,6.0078947368421085,0.0,9.82521052631579,24,24,True,False,2.5,0,2.5,42,all_matching_28d,winter,all_matching,planned,perfect_foresight,0.0,True
2017-01-06 00:00:00+00:00,9.29379079380194,9.58499417579208,9.509063325073589,0.0759308507184901,0.0,-0.29120338199014,0.0,54.69464757184908,0.0,7.593085071849083,0.0,9.58499417579208,24,24,True,False,2.5,0,2.5,42,all_matching_28d,winter,all_matching,planned,perfect_foresight,0.0,True
2017-01-07 00:00:00+00:00,10.857951428865132,10.523998046875,10.4375,0.0864980468749985,0.0,0.3339533819901319,0.0,60.0,0.0,8.6498046875,0.0,10.523998046874999,24,24,True,False,2.5,0,2.5,42,all_matching_28d,winter,all_matching,planned,perfect_foresight,0.0,True
