scale,metric,unit,alpha,mean,var,cvar,sample_count,tail_equivalent_count,excluded_partial_blocks,experiment,grid_limit_kw,seed,policy
hour,adjusted_loss,EUR/hour,0.9,0.43830682549692557,0.6337213199013157,1.4850615543982617,672,67.19999999999999,0,all_matching_28d,2.5,42,deterministic
hour,ens,kWh/hour,0.9,0.009458447886702716,0.0,0.09458447886702719,672,67.19999999999999,0,all_matching_28d,2.5,42,deterministic
utc_day,actual_expense,EUR/block,0.9,8.153197033403275,9.968660837950138,10.142929807721384,28,2.7999999999999994,0,all_matching_28d,2.5,42,deterministic
utc_day,shortage_penalty,EUR/block,0.9,2.2700274928086523,8.899528401692741,14.639353259858664,28,2.7999999999999994,0,all_matching_28d,2.5,42,deterministic
utc_day,inventory_adjustment,EUR/block,0.9,0.09613928571428598,0.6943499999999999,0.69435,28,2.7999999999999994,0,all_matching_28d,2.5,42,deterministic
utc_day,adjusted_loss,EUR/block,0.9,10.519363811926214,18.97044682576501,24.1998076798503,28,2.7999999999999994,0,all_matching_28d,2.5,42,deterministic
utc_day,ens,kWh/block,0.9,0.22700274928086514,0.8899528401692741,1.4639353259858663,28,2.7999999999999994,0,all_matching_28d,2.5,42,deterministic
nonoverlapping_24h,actual_expense,EUR/block,0.9,8.153197033403275,9.968660837950138,10.142929807721384,28,2.7999999999999994,0,all_matching_28d,2.5,42,deterministic
nonoverlapping_24h,shortage_penalty,EUR/block,0.9,2.2700274928086523,8.899528401692741,14.639353259858664,28,2.7999999999999994,0,all_matching_28d,2.5,42,deterministic
nonoverlapping_24h,inventory_adjustment,EUR/block,0.9,0.09613928571428598,0.6943499999999999,0.69435,28,2.7999999999999994,0,all_matching_28d,2.5,42,deterministic
nonoverlapping_24h,adjusted_loss,EUR/block,0.9,10.519363811926214,18.97044682576501,24.1998076798503,28,2.7999999999999994,0,all_matching_28d,2.5,42,deterministic
nonoverlapping_24h,ens,kWh/block,0.9,0.22700274928086514,0.8899528401692741,1.4639353259858663,28,2.7999999999999994,0,all_matching_28d,2.5,42,deterministic
hour,actual_expense,EUR/hour,0.9,0.3369360847355246,0.5045,0.505740823836554,672,67.19999999999999,0,all_matching_28d,2.5,42,stochastic
hour,shortage_penalty,EUR/hour,0.9,0.030167098272414553,0.0,0.3016709827241455,672,67.19999999999999,0,all_matching_28d,2.5,42,stochastic
