experiment,window,grid_limit_kw,seed,forecast_lead_hours,population,sample_count,mae_kw,bias_forecast_minus_actual_kw,rmse_kw,p10_p90_coverage,ensemble_range_coverage,below_ensemble_min_fraction,mean_p10_p90_width_kw
grid_capacity,winter,3.0,42,15,daylight_proxy,12,0.33867720346602176,0.297486804780506,0.44876024035236406,0.9166666666666666,0.9166666666666666,0.08333333333333333,0.6905110677083334
grid_capacity,winter,3.0,42,16,all_hours,24,0.16977456713479663,0.14917936779203866,0.3174673451769449,0.875,0.9166666666666666,0.08333333333333333,0.3262532552083333
grid_capacity,winter,3.0,42,16,daylight_proxy,12,0.33954913426959327,0.2983587355840774,0.4489666251598163,0.75,0.8333333333333334,0.16666666666666666,0.6525065104166666
grid_capacity,winter,3.0,42,17,all_hours,24,0.16977456713479663,0.14917936779203866,0.3174673451769449,0.8333333333333334,0.875,0.125,0.35437883649553575
grid_capacity,winter,3.0,42,17,daylight_proxy,12,0.3395491342695933,0.2983587355840774,0.4489666251598163,0.6666666666666666,0.75,0.25,0.7087576729910715
grid_capacity,winter,3.0,42,18,all_hours,24,0.16977456713479663,0.1491793677920387,0.3174673451769449,0.8333333333333334,0.9166666666666666,0.08333333333333333,0.32734026227678575
grid_capacity,winter,3.0,42,18,daylight_proxy,12,0.3395491342695933,0.2983587355840774,0.4489666251598163,0.6666666666666666,0.8333333333333334,0.16666666666666666,0.6546805245535715
grid_capacity,winter,3.0,42,19,all_hours,24,0.16977456713479663,0.14917936779203866,0.3174673451769449,0.875,0.9166666666666666,0.08333333333333333,0.30637032645089285
grid_capacity,winter,3.0,42,19,daylight_proxy,12,0.3395491342695933,0.2983587355840774,0.4489666251598163,0.75,0.8333333333333334,0.16666666666666666,0.6127406529017857
grid_capacity,winter,3.0,42,20,all_hours,24,0.16977456713479663,0.14917936779203866,0.3174673451769449,0.9166666666666666,0.9166666666666666,0.08333333333333333,0.32382056826636907
grid_capacity,winter,3.0,42,20,daylight_proxy,12,0.3395491342695933,0.2983587355840774,0.4489666251598163,0.8333333333333334,0.8333333333333334,0.16666666666666666,0.6476411365327381
grid_capacity,winter,3.0,42,21,all_hours,24,0.16977456713479663,0.14917936779203866,0.3174673451769449,0.9166666666666666,0.9166666666666666,0.08333333333333333,0.36248488653273814
grid_capacity,winter,3.0,42,21,daylight_proxy,12,0.3395491342695933,0.2983587355840774,0.4489666251598163,0.8333333333333334,0.8333333333333334,0.16666666666666666,0.7249697730654763
grid_capacity,winter,3.0,42,22,all_hours,24,0.16977456713479663,0.1491793677920387,0.3174673451769449,0.9166666666666666,0.9166666666666666,0.08333333333333333,0.35376848493303575
grid_capacity,winter,3.0,42,22,daylight_proxy,12,0.3395491342695933,0.2983587355840774,0.4489666251598163,0.8333333333333334,0.8333333333333334,0.16666666666666666,0.7075369698660715
grid_capacity,winter,3.0,42,23,all_hours,24,0.17513258192274303,0.1565060085720486,0.32909650729344936,0.8333333333333334,0.9166666666666666,0.08333333333333333,0.3020765516493056
grid_capacity,winter,3.0,42,23,daylight_proxy,12,0.3502651638454861,0.31301201714409727,0.4654127439440123,0.6666666666666666,0.8333333333333334,0.16666666666666666,0.6041531032986112
seed_repeat,winter,2.5,7,0,all_hours,24,0.14221835666232638,0.1103697277250744,0.2845261651018324,0.9583333333333334,0.9583333333333334,0.041666666666666664,0.39375523158482145
seed_repeat,winter,2.5,7,0,daylight_proxy,12,0.2844367133246527,0.22073945545014875,0.40238076153701774,0.9166666666666666,0.9166666666666666,0.08333333333333333,0.7875104631696428
seed_repeat,winter,2.5,7,1,all_hours,24,0.14221835666232638,0.11036972772507438,0.2845261651018324,1.0,1.0,0.0,0.38189987909226186
seed_repeat,winter,2.5,7,1,daylight_proxy,12,0.2844367133246527,0.22073945545014875,0.40238076153701774,1.0,1.0,0.0,0.7637997581845238
seed_repeat,winter,2.5,7,2,all_hours,24,0.14221835666232638,0.11036972772507438,0.2845261651018324,0.9166666666666666,1.0,0.0,0.40664527529761907
seed_repeat,winter,2.5,7,2,daylight_proxy,12,0.2844367133246527,0.22073945545014875,0.40238076153701774,0.8333333333333334,1.0,0.0,0.8132905505952381
seed_repeat,winter,2.5,7,3,all_hours,24,0.14221835666232638,0.11036972772507438,0.2845261651018324,0.9166666666666666,0.9583333333333334,0.041666666666666664,0.4208635602678572
seed_repeat,winter,2.5,7,3,daylight_proxy,12,0.2844367133246527,0.22073945545014875,0.40238076153701774,0.8333333333333334,0.9166666666666666,0.08333333333333333,0.8417271205357144
seed_repeat,winter,2.5,7,4,all_hours,24,0.14221835666232638,0.1103697277250744,0.2845261651018324,0.9166666666666666,0.9583333333333334,0.041666666666666664,0.3635893322172619
seed_repeat,winter,2.5,7,4,daylight_proxy,12,0.2844367133246527,0.22073945545014875,0.40238076153701774,0.8333333333333334,0.9166666666666666,0.08333333333333333,0.7271786644345238
seed_repeat,winter,2.5,7,5,all_hours,24,0.14221835666232638,0.11036972772507438,0.2845261651018324,0.875,1.0,0.0,0.35196358816964285
seed_repeat,winter,2.5,7,5,daylight_proxy,12,0.2844367133246527,0.22073945545014875,0.40238076153701774,0.75,1.0,0.0,0.7039271763392857
seed_repeat,winter,2.5,7,6,all_hours,24,0.14221835666232638,0.11036972772507438,0.2845261651018324,0.9583333333333334,1.0,0.0,0.39038085937500006
